Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.01  0.01 -100000000.00 
   1  0.01  0.01  0.01 
   2  0.01  0.01  0.01 
   3  0.01  0.01  0.01 
   4  0.02  0.01  0.01 
   5  0.03  0.01  0.02 
   6  0.01  0.01  0.03 
   7  0.01  0.01  0.03 
   8  0.03  0.01  0.03 
   9  0.02  0.01  0.03 
  10  0.01  0.01  0.03 
  11  0.02  0.01  0.03 
  12  0.02  0.01  0.03 
  13  0.02  0.02  0.03 
  14  0.08  0.03  0.03 
  15  0.01  0.02  0.08 
  16  0.02  0.02  0.08 
  17  0.02  0.03  0.08 
  18  0.07  0.03  0.08 
  19  0.02  0.03  0.08 
  20  0.05  0.03  0.08 
  21  0.02  0.03  0.08 
  22  0.25  0.04  0.08 
  23  0.04  0.04  0.25 
  24  0.05  0.04  0.25 
  25  0.02  0.04  0.25 
  26  0.04  0.05  0.25 
  27  0.02  0.06  0.25 
  28  0.02  0.05  0.25 
  29  0.05  0.08  0.25 
  30  0.04  0.10  0.25 
  31  0.08  0.11  0.25 
  32  0.03  0.07  0.25 
  33  0.07  0.08  0.25 
  34  0.03  0.08  0.25 
  35  0.06  0.07  0.25 
  36  0.09  0.07  0.25 
  37  0.03  0.08  0.25 
  38  0.10  0.09  0.25 
  39  0.05  0.08  0.25 
  40  0.09  0.10  0.25 
  41  0.04  0.14  0.25 
  42  0.06  0.14  0.25 
  43  0.18  0.17  0.25 
  44  0.24  0.16  0.25 
  45  0.03  0.20  0.25 
  46  0.02  0.14  0.25 
  47  0.03  0.18  0.25 
  48  0.13  0.86  0.25 
  49  0.19  0.12  0.25 
  50  0.15  0.13  0.25 
  51  0.17  0.21  0.25 
  52  0.13  0.16  0.25 
  53  0.08  0.08  0.25 
  54  0.35  0.11  0.25 
  55  0.06  0.15  0.35 
  56  0.09  0.12  0.35 
  57  0.27  0.28  0.35 
  58  0.22  0.20  0.35 
  59  0.08  0.41  0.35 
  60  0.05  0.56  0.35 
  61  0.11  0.72  0.35 
  62  0.22  0.25  0.35 
  63  0.12  1.23  0.35 
  64  0.19  0.63  0.35 
  65  0.21  0.65  0.35 
  66  0.31  0.99  0.35 
  67  0.31  1.21  0.35 
  68  0.20  0.85  0.35 
  69  0.26  1.56  0.35 
  70  0.09  1.27  0.35 
  71  0.40  1.34  0.35 
  72  1.09  1.40  0.40 
  73  0.39  1.49  1.09 
  74  0.17  1.32  1.09 
  75  0.37  1.24  1.09 
  76  0.27  1.79  1.09 
  77  0.38  1.28  1.09 
  78  0.39  1.53  1.09 
  79  0.34  1.17  1.09 
  80  0.31  0.63  1.09 
  81  0.64  0.84  1.09 
  82  0.12  0.95  1.09 
  83  0.45  0.80  1.09 
  84  0.27  0.67  1.09 
  85  0.48  0.74  1.09 
  86  0.73  0.89  1.09 
  87  0.26  1.02  1.09 
  88  0.23  1.11  1.09 
  89  0.41  1.38  1.09 
  90  0.33  0.72  1.09 
  91  0.07  0.38  1.09 
  92  0.42  0.36  1.09 
  93  0.25  0.59  1.09 
  94  0.61  0.93  1.09 
  95  0.53  1.09  1.09 
  96  0.79  0.84  1.09 
  97  0.61  0.71  1.09 
  98  0.76  1.04  1.09 
  99  0.77  1.54  1.09 
 100  0.47  1.90  1.09 
 101  0.29  2.27  1.09 
 102  1.13  2.26  1.09 
 103  0.90  1.66  1.13 
 104  0.27  1.91  1.13 
 105  0.32  2.22  1.13 
 106  0.59  2.42  1.13 
 107  1.17  1.83  1.13 
