iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.3905301094055176,0.010709709798046248,0.0077707831165127845,0.022000759727564902,0.0014138548114845733,0.0,0.14548053294194013,0.1,0.06087756156921387,0.06387066841125488,0.05545272,0.99501044,0.010709709798046248,0.0,0.0002117206696711857,0.0,200,0.04453015327453613,20.211162269503028,6.091452814857699,200,0.010628636114177041,0.0
1,1.1397995948791504,0.014095177929445224,0.005559962055560232,0.02320530845424653,0.008794823481766524,0.0,0.14405318983675544,0.1,0.0030107498168945312,0.058151960372924805,0.04843341,0.83315736,0.011048256611186146,0.0,0.00026718319606550177,0.0,200,0.020869016647338867,4.333206776259424,0.699525884050698,400,0.011078392446699144,0.0
2,1.2579994201660156,0.010742331462778303,0.0024089065451472482,0.013717553528665395,0.0074569006613519175,0.0,0.13954716413115503,0.1,0.0029273033142089844,0.21619892120361328,0.050704118,1.2251668,0.011017664096345362,0.0,0.00021383719179680566,0.0,200,0.022450923919677734,1.8826786844291883,1.6194730656362135,600,0.013068951900322682,0.0
3,1.2331478595733643,0.009458177815605737,0.0067599262701676455,0.01672424580783295,0.0016525833106559916,0.0,0.14301636224284325,0.1,0.0037856101989746094,0.061722517013549805,0.053797536,0.95398897,0.0108617154682714,0.0,0.00018835217033253982,0.0,200,0.015698671340942383,1.2492380434174568,0.9598580921920702,800,0.014569937517951713,0.0
4,1.2520744800567627,0.034798745670524725,0.015441614200884801,0.05401173375886489,0.01303528134731991,0.0,0.1493887811906942,0.1,0.0029058456420898438,0.05793046951293945,0.05035614,1.089821,0.013255418488496734,0.0,0.0006947676004299009,0.0,200,0.016357421875,0.8659583105312338,0.37345871091897676,1000,0.017018003952972847,0.0
5,1.225694179534912,0.04069294590075635,0.007450491777722878,0.05288397337211042,0.03274879696866659,0.0,0.14474708470576023,0.1,0.0030176639556884766,0.05611991882324219,0.04814201,0.7592826,0.0159991712297227,0.0,0.0008032422468289104,0.0,200,0.01468515396118164,0.3612295024796415,0.3680648624790491,1200,0.018246863608357457,0.0
6,1.2786204814910889,0.016631509186514817,0.011650394239295066,0.036504536436278656,0.007272328255688136,0.0,0.1481029715481513,0.1,0.002930879592895508,0.06047511100769043,0.050994515,0.9467632,0.01606240502540191,0.0,0.00033199161665623325,0.0,200,0.0519719123840332,3.1188540742633672,0.9819829351848978,1400,0.02670632754851404,0.0
7,1.3775663375854492,0.01804624846270303,0.018302404348074806,0.049290672416239294,0.004639096783954889,0.0,0.1462746172395156,0.1,0.0029523372650146484,0.0617671012878418,0.051218454,1.616726,0.016260789369132025,0.0,0.00035923675428588795,0.0,200,0.07230806350708008,0.9490516113985437,0.8241024086871023,1600,0.021311343691995416,0.0
8,1.355921983718872,0.09674897197812271,0.13175906190371361,0.32327796048310903,0.0057574493948966705,0.0,0.14585543544235288,0.1,0.003645658493041992,0.06403470039367676,0.04909445,1.5435802,0.024309607630031094,0.0,0.0019305594444575965,0.0,200,0.01929163932800293,0.9743674870801317,0.80077153001293,1800,0.02465209019675402,0.0
9,1.287654161453247,0.04612062959279222,0.04202798941476741,0.11242038626867396,0.0026026088539660604,0.0,0.13940259155270665,0.1,0.0030660629272460938,0.05695676803588867,0.051337104,1.3720828,0.026490709826307208,0.0,0.0009180790558053693,0.0,200,0.03546881675720215,0.5009411422491138,0.7243483029911908,2000,0.030442814465053984,0.0
10,1.2715702056884766,0.01653258234327263,0.010914162199759245,0.03000455371437852,0.002417035648446306,0.0,0.1418204469448765,0.1,0.07135820388793945,0.05640888214111328,0.049628507,1.024933,0.025494897078003752,0.0,0.00033060796017738347,0.0,200,0.16614341735839844,11.464171330594118,7.268793949980774,2200,0.040385037363067935,0.0
11,1.3113133907318115,0.06832224465813425,0.051915443253050926,0.12348174093657997,0.007333150937113555,0.0,0.13840576020304748,0.1,0.0032351016998291016,0.062319278717041016,0.050439753,1.0566181,0.0297776318360168,0.0,0.0013617927178267905,0.0,200,0.0659935474395752,0.48469372415467044,0.5076238633008908,2400,0.03348429414128386,0.0
