Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.02  0.03 -100000000.00 
   1  0.03  0.02  0.02 
   2  0.02  0.02  0.03 
   3  0.03  0.02  0.03 
   4  0.04  0.02  0.03 
   5  0.04  0.03  0.04 
   6  0.04  0.06  0.04 
   7  0.03  0.06  0.04 
   8  0.06  0.10  0.04 
   9  0.06  0.16  0.06 
  10  0.11  0.14  0.06 
  11  0.09  0.11  0.11 
  12  0.06  0.14  0.11 
  13  0.10  0.18  0.11 
  14  0.23  0.23  0.11 
  15  0.05  0.35  0.23 
  16  0.07  0.48  0.23 
  17  0.07  0.56  0.23 
  18  0.25  0.52  0.23 
  19  0.14  0.76  0.25 
  20  0.11  0.61  0.25 
  21  0.10  0.60  0.25 
  22  0.30  0.79  0.25 
  23  0.17  0.79  0.30 
  24  0.45  0.91  0.30 
  25  0.07  0.60  0.45 
  26  0.11  0.73  0.45 
  27  0.08  0.98  0.45 
  28  0.18  0.60  0.45 
  29  0.13  0.98  0.45 
  30  0.26  1.06  0.45 
  31  0.19  1.08  0.45 
  32  0.22  0.68  0.45 
  33  0.41  0.73  0.45 
  34  0.35  0.94  0.45 
  35  0.28  0.98  0.45 
  36  0.26  0.75  0.45 
  37  0.14  0.75  0.45 
  38  0.31  0.65  0.45 
  39  0.42  0.60  0.45 
  40  0.36  0.61  0.45 
  41  0.63  1.18  0.45 
  42  0.66  0.68  0.63 
  43  0.47  0.98  0.66 
  44  0.72  0.96  0.66 
  45  0.33  0.92  0.72 
  46  0.35  1.00  0.72 
  47  0.37  1.19  0.72 
  48  0.58  1.37  0.72 
  49  0.59  1.53  0.72 
  50  0.42  1.36  0.72 
  51  0.31  1.09  0.72 
  52  0.27  0.97  0.72 
  53  0.54  0.73  0.72 
  54  0.62  0.63  0.72 
  55  0.34  0.80  0.72 
  56  0.34  0.75  0.72 
  57  0.45  0.61  0.72 
  58  0.61  0.62  0.72 
  59  0.42  0.58  0.72 
  60  0.19  0.57  0.72 
  61  0.44  0.60  0.72 
  62  0.61  0.70  0.72 
  63  0.42  0.71  0.72 
  64  0.31  0.67  0.72 
  65  0.59  0.81  0.72 
  66  0.62  0.76  0.72 
  67  0.56  0.53  0.72 
  68  0.48  0.60  0.72 
  69  0.78  0.47  0.72 
  70  0.57  0.54  0.78 
  71  0.56  0.72  0.78 
  72  0.76  0.55  0.78 
  73  0.46  0.53  0.78 
  74  0.38  0.14  0.78 
  75  0.61  0.58  0.78 
  76  0.58  0.54  0.78 
  77  0.32  0.82  0.78 
  78  0.51  1.03  0.78 
  79  0.57  0.85  0.78 
  80  0.70  1.01  0.78 
  81  1.27  0.89  0.78 
  82  0.44  0.95  1.27 
  83  0.87  0.79  1.27 
  84  0.58  0.88  1.27 
  85  0.80  0.97  1.27 
  86  0.67  1.29  1.27 
  87  0.38  1.44  1.27 
  88  0.49  0.78  1.27 
  89  0.65  0.59  1.27 
  90  0.57  0.97  1.27 
  91  0.20  0.91  1.27 
  92  0.32  0.98  1.27 
  93  0.45  0.74  1.27 
  94  0.61  0.98  1.27 
  95  0.62  1.18  1.27 
  96  0.93  0.97  1.27 
  97  0.96  1.04  1.27 
  98  0.77  1.06  1.27 
  99  0.71  1.23  1.27 
 100  0.27  1.11  1.27 
 101  0.60  1.30  1.27 
 102  0.90  1.38  1.27 
 103  0.69  1.53  1.27 
 104  0.66  1.02  1.27 
 105  0.99  1.21  1.27 
 106  1.03  0.82  1.27 
 107  0.80  1.07  1.27 
 108  0.73  1.19  1.27 
 109  0.80  1.08  1.27 
 110  0.97  1.39  1.27 
 111  0.73  1.97  1.27 
 112  0.39  1.51  1.27 
 113  0.76  2.00  1.27 
 114  0.71  1.43  1.27 
 115  0.82  1.74  1.27 
 116  0.55  1.26  1.27 
 117  0.47  1.54  1.27 
 118  0.92  1.44  1.27 
 119  0.97  1.02  1.27 
 120  0.55  1.11  1.27 
 121  0.49  1.34  1.27 
 122  0.57  1.96  1.27 
 123  0.73  1.77  1.27 
 124  0.30  1.11  1.27 
 125  0.92  0.72  1.27 
 126  0.55  1.20  1.27 
 127  0.65  0.71  1.27 
 128  1.25  0.49  1.27 
 129  0.57  0.92  1.27 
 130  0.63  0.86  1.27 
 131  0.83  1.43  1.27 
 132  0.39  0.97  1.27 
 133  0.56  0.88  1.27 
 134  0.79  2.02  1.27 
 135  0.28  0.81  1.27 
 136  0.77  1.14  1.27 
 137  0.75  1.20  1.27 
 138  0.93  1.13  1.27 
 139  0.66  1.41  1.27 
 140  1.03  1.18  1.27 
 141  0.35  1.63  1.27 
 142  1.04  1.41  1.27 
 143  0.64  1.20  1.27 
 144  0.74  0.89  1.27 
 145  0.74  1.44  1.27 
 146  0.59  1.33  1.27 
 147  1.08  1.46  1.27 
 148  1.12  2.31  1.27 
 149  0.66  1.31  1.27 
