Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.03  0.03 -100000000.00 
   1  0.03  0.03  0.03 
   2  0.03  0.04  0.03 
   3  0.03  0.05  0.03 
   4  0.14  0.06  0.03 
   5  0.09  0.06  0.14 
   6  0.04  0.08  0.14 
   7  0.02  0.06  0.14 
   8  0.12  0.07  0.14 
   9  0.08  0.08  0.14 
  10  0.05  0.06  0.14 
  11  0.11  0.06  0.14 
  12  0.14  0.09  0.14 
  13  0.10  0.08  0.14 
  14  0.21  0.10  0.14 
  15  0.13  0.11  0.21 
  16  0.07  0.14  0.21 
  17  0.13  0.17  0.21 
  18  0.23  0.16  0.21 
  19  0.17  0.14  0.23 
  20  0.13  0.14  0.23 
  21  0.15  0.15  0.23 
  22  0.26  0.15  0.23 
  23  0.10  0.17  0.26 
  24  0.23  0.14  0.26 
  25  0.13  0.11  0.26 
  26  0.09  0.18  0.26 
  27  0.12  0.20  0.26 
  28  0.08  0.22  0.26 
  29  0.15  0.20  0.26 
  30  0.23  0.27  0.26 
  31  0.25  0.42  0.26 
  32  0.14  0.29  0.26 
  33  0.23  0.25  0.26 
  34  0.12  0.26  0.26 
  35  0.15  0.17  0.26 
  36  0.15  0.34  0.26 
  37  0.11  0.25  0.26 
  38  0.16  0.23  0.26 
  39  0.21  0.25  0.26 
  40  0.24  0.15  0.26 
  41  0.29  0.14  0.26 
  42  0.22  0.14  0.29 
  43  0.30  0.23  0.29 
  44  0.35  0.17  0.30 
  45  0.15  0.20  0.35 
  46  0.22  0.15  0.35 
  47  0.12  0.21  0.35 
  48  0.40  0.46  0.35 
  49  0.17  0.23  0.40 
  50  0.21  0.53  0.40 
  51  0.20  0.49  0.40 
  52  0.15  0.48  0.40 
  53  0.23  0.54  0.40 
  54  0.24  0.55  0.40 
  55  0.27  0.64  0.40 
  56  0.35  0.61  0.40 
  57  0.16  0.59  0.40 
  58  0.23  0.61  0.40 
  59  0.18  0.56  0.40 
  60  0.10  0.58  0.40 
  61  0.20  0.67  0.40 
  62  0.32  0.72  0.40 
  63  0.30  0.54  0.40 
  64  0.33  0.64  0.40 
  65  0.30  0.72  0.40 
  66  0.30  0.48  0.40 
  67  0.18  0.61  0.40 
  68  0.35  0.57  0.40 
  69  0.36  0.99  0.40 
  70  0.29  1.14  0.40 
  71  0.22  1.03  0.40 
  72  0.43  0.86  0.40 
  73  0.36  0.59  0.43 
  74  0.28  0.58  0.43 
  75  0.31  0.85  0.43 
  76  0.26  0.51  0.43 
  77  0.24  0.56  0.43 
  78  0.21  0.57  0.43 
  79  0.33  0.46  0.43 
  80  0.30  0.48  0.43 
  81  0.47  0.50  0.43 
  82  0.22  0.62  0.47 
  83  0.43  0.59  0.47 
  84  0.29  0.57  0.47 
  85  0.36  0.68  0.47 
  86  0.40  0.60  0.47 
  87  0.26  0.51  0.47 
  88  0.42  0.44  0.47 
