Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.01  0.01 -100000000.00 
   1  0.01  0.01  0.01 
   2  0.01  0.01  0.01 
   3  0.01  0.01  0.01 
   4  0.03  0.02  0.01 
   5  0.04  0.02  0.03 
   6  0.02  0.03  0.04 
   7  0.02  0.02  0.04 
   8  0.10  0.02  0.04 
   9  0.05  0.03  0.10 
  10  0.02  0.04  0.10 
  11  0.07  0.03  0.10 
  12  0.05  0.05  0.10 
  13  0.09  0.06  0.10 
  14  0.22  0.09  0.10 
  15  0.03  0.05  0.22 
  16  0.04  0.08  0.22 
  17  0.05  0.10  0.22 
  18  0.20  0.09  0.22 
  19  0.04  0.09  0.22 
  20  0.04  0.13  0.22 
  21  0.04  0.12  0.22 
  22  0.41  0.16  0.22 
  23  0.07  0.17  0.41 
  24  0.10  0.18  0.41 
  25  0.04  0.16  0.41 
  26  0.11  0.20  0.41 
  27  0.04  0.24  0.41 
  28  0.07  0.30  0.41 
  29  0.10  0.13  0.41 
  30  0.12  0.28  0.41 
  31  0.16  0.24  0.41 
  32  0.08  0.21  0.41 
  33  0.18  0.27  0.41 
  34  0.06  0.33  0.41 
  35  0.09  0.38  0.41 
  36  0.24  0.41  0.41 
  37  0.09  0.38  0.41 
  38  0.17  0.34  0.41 
  39  0.13  0.16  0.41 
  40  0.19  0.21  0.41 
  41  0.17  0.39  0.41 
  42  0.14  0.41  0.41 
  43  0.51  0.21  0.41 
  44  0.45  0.27  0.51 
  45  0.10  0.79  0.51 
  46  0.08  0.28  0.51 
  47  0.17  1.08  0.51 
  48  0.56  0.96  0.51 
  49  0.31  0.42  0.56 
  50  0.24  0.36  0.56 
  51  0.34  0.31  0.56 
  52  0.24  0.07  0.56 
  53  0.42  0.10  0.56 
  54  0.67  0.20  0.56 
  55  0.18  0.10  0.67 
  56  0.32  0.10  0.67 
  57  0.40  0.23  0.67 
  58  0.61  0.33  0.67 
  59  0.39  1.35  0.67 
  60  0.13  1.18  0.67 
  61  0.26  0.40  0.67 
  62  0.42  1.39  0.67 
  63  0.24  0.56  0.67 
  64  0.37  1.31  0.67 
  65  0.62  1.50  0.67 
  66  0.74  1.87  0.67 
  67  0.55  1.23  0.74 
  68  0.62  1.28  0.74 
  69  0.39  1.14  0.74 
  70  0.16  1.08  0.74 
  71  0.78  1.13  0.74 
  72  0.79  0.91  0.78 
  73  0.68  0.31  0.79 
  74  0.41  0.20  0.79 
  75  0.29  0.59  0.79 
  76  0.48  0.81  0.79 
  77  0.43  1.02  0.79 
  78  0.33  0.75  0.79 
  79  0.35  0.50  0.79 
  80  0.52  0.47  0.79 
  81  0.93  0.61  0.79 
  82  0.50  0.89  0.93 
  83  0.45  0.49  0.93 
  84  0.60  0.47  0.93 
  85  0.79  0.24  0.93 
  86  0.84  0.11  0.93 
  87  0.52  0.06  0.93 
  88  0.78  0.04  0.93 
  89  0.59  0.08  0.93 
  90  0.47  0.05  0.93 
  91  0.32  0.05  0.93 
  92  0.60  0.08  0.93 
  93  0.53  0.07  0.93 
  94  0.58  0.14  0.93 
  95  0.63  0.19  0.93 
  96  0.86  0.29  0.93 
  97  0.69  0.26  0.93 
  98  0.76  0.21  0.93 
  99  0.87  0.17  0.93 
 100  0.39  0.10  0.93 
 101  0.46  0.11  0.93 
 102  0.92  0.18  0.93 
 103  0.73  0.11  0.93 
 104  0.83  0.09  0.93 
 105  0.29  0.16  0.93 
