Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  2.25  2.24 -100000000.00 
   1  2.25  2.24  2.25 
   2  2.25  2.24  2.25 
   3  2.26  2.24  2.25 
   4  2.25  2.24  2.26 
   5  2.26  2.24  2.26 
   6  2.25  2.24  2.26 
   7  2.25  2.24  2.26 
   8  2.25  2.25  2.26 
   9  2.25  2.25  2.26 
  10  2.25  2.24  2.26 
  11  2.25  2.24  2.26 
  12  2.26  2.25  2.26 
  13  2.27  2.25  2.26 
  14  2.27  2.26  2.27 
  15  2.26  2.26  2.27 
  16  2.25  2.27  2.27 
  17  2.26  2.28  2.27 
  18  2.25  2.26  2.27 
  19  2.25  2.26  2.27 
  20  2.25  2.27  2.27 
  21  2.24  2.26  2.27 
  22  2.28  2.25  2.27 
  23  2.25  2.25  2.28 
  24  2.30  2.25  2.28 
  25  2.24  2.25  2.30 
  26  2.26  2.25  2.30 
  27  2.25  2.25  2.30 
  28  2.26  2.25  2.30 
  29  2.25  2.25  2.30 
  30  2.25  2.25  2.30 
  31  2.26  2.25  2.30 
  32  2.26  2.25  2.30 
  33  2.07  2.25  2.30 
  34  2.24  2.25  2.30 
  35  2.25  2.25  2.30 
  36  2.32  2.25  2.30 
  37  2.26  2.25  2.32 
  38  2.27  2.25  2.32 
  39  2.26  2.25  2.32 
  40  2.25  2.25  2.32 
  41  2.27  2.25  2.32 
  42  2.22  2.25  2.32 
  43  2.27  2.25  2.32 
  44  2.27  2.25  2.32 
  45  2.26  2.25  2.32 
  46  2.24  2.25  2.32 
  47  2.25  2.25  2.32 
  48  2.27  2.25  2.32 
  49  2.28  2.25  2.32 
  50  2.16  2.25  2.32 
  51  2.27  2.25  2.32 
  52  2.29  2.24  2.32 
  53  2.27  2.24  2.32 
  54  2.26  2.24  2.32 
  55  2.25  2.24  2.32 
  56  2.26  2.24  2.32 
  57  2.27  2.25  2.32 
  58  2.26  2.25  2.32 
  59  2.26  2.25  2.32 
  60  2.25  2.25  2.32 
  61  2.25  2.25  2.32 
  62  2.26  2.25  2.32 
  63  2.25  2.25  2.32 
  64  2.12  2.25  2.32 
  65  2.26  2.25  2.32 
  66  2.26  2.26  2.32 
  67  2.25  2.26  2.32 
  68  2.27  2.26  2.32 
  69  2.22  2.26  2.32 
  70  2.25  2.26  2.32 
  71  2.26  2.27  2.32 
  72  2.27  2.26  2.32 
  73  2.16  2.27  2.32 
  74  2.25  2.28  2.32 
  75  2.27  2.28  2.32 
  76  2.25  2.28  2.32 
  77  2.26  2.26  2.32 
  78  2.27  2.26  2.32 
  79  2.26  2.26  2.32 
  80  2.26  2.26  2.32 
  81  2.26  2.26  2.32 
  82  2.26  2.26  2.32 
  83  2.27  2.26  2.32 
  84  2.25  2.27  2.32 
  85  2.26  2.27  2.32 
  86  2.26  2.27  2.32 
  87  2.26  2.28  2.32 
  88  2.27  2.28  2.32 
  89  2.30  2.28  2.32 
  90  2.26  2.27  2.32 
  91  2.25  2.28  2.32 
  92  2.28  2.28  2.32 
  93  2.26  2.29  2.32 
  94  2.25  2.31  2.32 
  95  2.27  2.31  2.32 
  96  2.29  2.30  2.32 
  97  2.27  2.29  2.32 
  98  2.30  2.28  2.32 
  99  2.30  2.26  2.32 
 100  2.30  2.26  2.32 
 101  2.31  2.27  2.32 
 102  2.27  2.27  2.32 
 103  2.26  2.27  2.32 
 104  2.27  2.27  2.32 
 105  2.26  2.26  2.32 
 106  2.29  2.26  2.32 
 107  2.27  2.26  2.32 
 108  2.27  2.27  2.32 
 109  2.27  2.28  2.32 
 110  2.36  2.29  2.32 
 111  2.28  2.29  2.36 
 112  2.26  2.29  2.36 
 113  2.26  2.29  2.36 
 114  2.29  2.30  2.36 
 115  2.26  2.29  2.36 
 116  2.29  2.28  2.36 
 117  2.27  2.28  2.36 
 118  2.27  2.28  2.36 
 119  2.32  2.28  2.36 
 120  2.26  2.29  2.36 
 121  2.25  2.31  2.36 
 122  2.27  2.28  2.36 
