iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,effort,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.4989304542541504,-537.988160985821,13.69956178960757,-516.5510010897087,-550.7197061279054,0.25,0.10085254528124814,0.1,0.07627224922180176,0.12070894241333008,0.057025272,1.5307983,-537.988160985821,-0.10980732819796336,-0.17923830370788393,0.25,0.06027070689066818,70,0.005419731140136719,0.999861741166219,0.999861741166219,70,-575.1108754624069,0.49999999999999994
1,1.3403382301330566,-534.3325960740638,10.086603918153738,-524.3187566452716,-549.3334618031896,0.375,0.13751807192331997,0.1,0.0024111270904541016,0.051989078521728516,0.04898475,0.8372623,-537.6226044946452,-0.11761171176930446,-0.16089606509558424,0.375,0.06082868922358732,72,0.0030586719512939453,0.9998606978679624,0.9998606978679624,142,-573.0508324704888,0.49999999999999994
2,1.3958818912506104,-541.0258466163021,3.553208872346921,-535.0925350982823,-543.9739922424332,0.25,0.1467709956243018,0.1,0.002501249313354492,0.0466916561126709,0.048069246,0.7103965,-537.9629287068109,-0.11817682335977497,-0.19376885326247428,0.25,0.058035640026272435,69,0.004345893859863281,0.9998610232527978,0.9998610232527978,211,-578.8624097902351,0.49999999999999994
3,1.3923265933990479,-540.2226398140305,7.743274486897699,-527.8581956212813,-548.0680802462684,0.375,0.1423210425430528,0.1,0.0064427852630615234,0.1409292221069336,0.048885703,0.684199,-538.1888998175328,-0.10965206896422162,-0.19122525188770853,0.375,0.05908853131657488,74,0.002817392349243164,0.999857559918374,0.999857559918374,285,-584.0004598707504,0.49999999999999994
4,1.3908302783966064,-535.6403281157961,7.074407721205975,-524.627967864753,-543.694384329588,0.5,0.1393055395493048,0.1,0.029704809188842773,0.06928229331970215,0.049640495,0.7446722,-537.9340426473592,-0.11745340581017635,-0.16640418456592415,0.5,0.059687208931296254,73,0.0030088424682617188,0.9998600661154698,0.9998600661154698,358,-583.6222339805329,0.49999999999999994
5,1.4177772998809814,-533.935218471939,7.11827663731713,-526.7405234066542,-542.8472576690367,0.5,0.14523493937577445,0.1,0.030722856521606445,0.04878401756286621,0.048899643,1.0129429,-537.5341602298172,-0.1045135661946398,-0.15973605202326469,0.5,0.060313165912373214,73,0.002644777297973633,0.9998603673811159,0.9998603673811159,431,-579.1243788216032,0.49999999999999994
6,1.3641369342803955,-530.9706270940203,5.492913321380144,-527.1228858411729,-540.4567705949006,0.5,0.1404855588820853,0.1,0.0023779869079589844,0.05509209632873535,0.05067727,0.77413887,-536.8778069162375,-0.10548852770956965,-0.14495251746359536,0.5,0.05974445480522508,68,0.002609729766845703,0.999860239612208,0.999860239612208,499,-579.8418663845428,0.49999999999999994
7,1.4371695518493652,-533.0753357995903,4.4136093841255954,-529.0446135261209,-539.899033359987,0.5,0.14408515808852748,0.1,0.002542734146118164,0.04740762710571289,0.049007002,0.97464675,-536.4975598045728,-0.10429633005414932,-0.15594178067632597,0.5,0.06055770797043395,77,0.014424800872802734,0.9998615207584369,0.9998615207584369,576,-570.4042641573411,0.49999999999999994
8,1.4136545658111572,-529.3230214597882,10.809692103557662,-512.313191058976,-540.701063649341,0.5,0.14319312388887045,0.1,0.021871328353881836,0.04723858833312988,0.053580422,0.73964226,-535.7801059700944,-0.11975958524326792,-0.1366672132059423,0.5,0.059479113778666284,71,0.0026526451110839844,0.9998591540511065,0.9998591540511065,647,-565.8875225695922,0.49999999999999994
9,1.406006097793579,-538.1658021700152,4.738662297903594,-532.380931076739,-545.5824389267998,0.25,0.1345576986331393,0.1,0.0326080322265625,0.10781288146972656,0.04945619,0.76907635,-536.0186755900864,-0.0940530775220401,-0.1825130623328949,0.25,0.06177673541148551,73,0.016356468200683594,0.9998610357315729,0.9998610357315729,720,-562.2827508833261,0.49999999999999994
