Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  2.81  2.81 -100000000.00 
   1  2.86  2.81  2.81 
   2  2.82  2.81  2.86 
   3  2.84  2.81  2.86 
   4  2.83  2.81  2.86 
   5  2.51  2.81  2.86 
   6  2.83  2.82  2.86 
   7  2.79  2.83  2.86 
   8  2.54  2.84  2.86 
   9  2.83  2.84  2.86 
  10  2.63  2.81  2.86 
  11  2.82  2.82  2.86 
  12  2.86  2.82  2.86 
  13  2.84  2.85  2.86 
  14  2.60  2.91  2.86 
  15  2.78  2.94  2.86 
  16  2.86  2.88  2.86 
  17  2.83  2.87  2.86 
  18  2.84  2.85  2.86 
  19  2.76  2.86  2.86 
  20  2.47  2.83  2.86 
  21  2.70  2.83  2.86 
  22  2.73  2.82  2.86 
  23  2.78  2.81  2.86 
  24  2.81  2.81  2.86 
  25  2.84  2.82  2.86 
  26  2.80  2.81  2.86 
  27  2.83  2.81  2.86 
  28  2.77  2.83  2.86 
  29  2.80  2.81  2.86 
  30  2.83  2.81  2.86 
  31  2.82  2.81  2.86 
  32  2.49  2.81  2.86 
  33  2.85  2.80  2.86 
  34  2.82  2.80  2.86 
  35  2.85  2.80  2.86 
  36  2.61  2.80  2.86 
  37  2.82  2.80  2.86 
  38  2.75  2.80  2.86 
  39  2.79  2.80  2.86 
  40  2.85  2.81  2.86 
  41  2.83  2.80  2.86 
  42  2.82  2.80  2.86 
  43  2.61  2.80  2.86 
  44  2.83  2.80  2.86 
  45  2.92  2.80  2.86 
  46  2.85  2.80  2.92 
  47  2.61  2.80  2.92 
  48  2.75  2.80  2.92 
  49  2.87  2.80  2.92 
  50  2.90  2.80  2.92 
  51  2.78  2.80  2.92 
  52  2.86  2.80  2.92 
  53  3.00  2.80  2.92 
  54  2.84  2.80  3.00 
  55  2.83  2.80  3.00 
  56  2.72  2.80  3.00 
  57  2.82  2.80  3.00 
  58  2.77  2.80  3.00 
  59  2.81  2.80  3.00 
  60  2.81  2.80  3.00 
  61  2.82  2.80  3.00 
  62  2.82  2.80  3.00 
  63  2.82  2.80  3.00 
  64  2.55  2.80  3.00 
  65  2.83  2.80  3.00 
  66  2.86  2.80  3.00 
  67  2.85  2.80  3.00 
  68  2.82  2.80  3.00 
  69  2.81  2.80  3.00 
  70  2.85  2.80  3.00 
  71  2.82  2.80  3.00 
  72  2.47  2.80  3.00 
  73  2.41  2.80  3.00 
  74  2.84  2.80  3.00 
  75  2.85  2.80  3.00 
  76  2.83  2.80  3.00 
  77  2.87  2.80  3.00 
  78  2.87  2.80  3.00 
  79  2.83  2.80  3.00 
  80  2.82  2.80  3.00 
  81  2.55  2.80  3.00 
  82  2.69  2.80  3.00 
  83  2.67  2.80  3.00 
  84  2.80  2.80  3.00 
  85  2.77  2.80  3.00 
  86  2.83  2.80  3.00 
  87  2.55  2.80  3.00 
  88  2.77  2.80  3.00 
  89  2.68  2.82  3.00 
  90  2.55  2.82  3.00 
  91  2.81  2.83  3.00 
  92  2.69  2.81  3.00 
  93  2.90  2.82  3.00 
  94  2.84  2.82  3.00 
  95  2.57  2.81  3.00 
  96  2.91  2.81  3.00 
  97  2.73  2.80  3.00 
  98  2.55  2.80  3.00 
  99  2.85  2.80  3.00 
 100  2.82  2.80  3.00 
 101  2.80  2.80  3.00 
 102  2.85  2.80  3.00 
 103  2.90  2.80  3.00 
 104  2.81  2.80  3.00 
