Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0  0.02  0.01 -100000000.00 
   1  0.02  0.02  0.02 
   2  0.01  0.02  0.02 
   3  0.01  0.02  0.02 
   4  0.06  0.03  0.02 
   5  0.05  0.04  0.06 
   6  0.03  0.07  0.06 
   7  0.03  0.06  0.06 
   8  0.15  0.07  0.06 
   9  0.06  0.07  0.15 
  10  0.02  0.06  0.15 
  11  0.10  0.06  0.15 
  12  0.08  0.07  0.15 
  13  0.12  0.09  0.15 
  14  0.26  0.11  0.15 
  15  0.04  0.11  0.26 
  16  0.06  0.15  0.26 
  17  0.09  0.27  0.26 
  18  0.30  0.24  0.26 
  19  0.11  0.26  0.30 
  20  0.11  0.43  0.30 
  21  0.08  0.41  0.30 
  22  0.30  0.52  0.30 
  23  0.10  0.45  0.30 
  24  0.28  0.36  0.30 
  25  0.11  0.30  0.30 
  26  0.20  0.43  0.30 
  27  0.09  0.50  0.30 
  28  0.09  0.62  0.30 
  29  0.21  0.53  0.30 
  30  0.15  0.41  0.30 
  31  0.23  0.32  0.30 
  32  0.11  0.39  0.30 
  33  0.32  0.38  0.30 
  34  0.10  0.49  0.32 
  35  0.25  0.66  0.32 
  36  0.24  0.56  0.32 
  37  0.09  0.71  0.32 
  38  0.19  0.73  0.32 
  39  0.16  1.01  0.32 
  40  0.42  1.20  0.32 
  41  0.43  1.07  0.42 
  42  0.19  1.04  0.43 
  43  0.39  0.89  0.43 
  44  0.47  0.89  0.43 
  45  0.22  0.90  0.47 
  46  0.18  0.91  0.47 
  47  0.28  0.82  0.47 
  48  0.64  0.93  0.47 
  49  0.31  0.91  0.64 
  50  0.42  0.78  0.64 
  51  0.44  0.79  0.64 
  52  0.22  0.81  0.64 
  53  0.27  0.86  0.64 
  54  0.52  0.64  0.64 
  55  0.20  0.91  0.64 
  56  0.41  0.97  0.64 
  57  0.27  0.97  0.64 
  58  0.41  0.96  0.64 
  59  0.24  0.83  0.64 
  60  0.15  0.64  0.64 
  61  0.23  0.67  0.64 
  62  0.65  0.85  0.64 
  63  0.39  0.96  0.65 
  64  0.25  0.90  0.65 
  65  0.34  0.82  0.65 
  66  0.52  0.79  0.65 
  67  0.48  0.90  0.65 
  68  0.57  0.74  0.65 
  69  0.52  0.79  0.65 
  70  0.27  0.83  0.65 
  71  0.68  0.80  0.65 
  72  0.83  0.89  0.68 
  73  0.53  0.81  0.83 
  74  0.58  0.84  0.83 
  75  0.44  0.97  0.83 
  76  0.62  0.70  0.83 
  77  0.57  0.73  0.83 
  78  0.31  0.86  0.83 
  79  0.43  0.41  0.83 
  80  0.43  0.47  0.83 
  81  0.61  0.69  0.83 
  82  0.41  0.84  0.83 
  83  0.50  0.44  0.83 
  84  0.43  0.77  0.83 
  85  0.89  0.92  0.83 
  86  0.81  1.09  0.89 
  87  0.49  1.05  0.89 
  88  0.68  0.81  0.89 
  89  0.89  1.04  0.89 
  90  0.59  1.11  0.89 
  91  0.46  1.24  0.89 
  92  0.80  1.09  0.89 
  93  0.65  0.91  0.89 
